file_info,news_id,short_text,total_count,dod_web_path,stock_name,title,file_type,date_time,long_text,stock_code,file_link,auditor
403KB,9230549,"Financial Statements/ESG Information - [Quarterly Report / Annual Report / Environmental, Social and Governance...<div class='fancy-note-tooltip-hover' data-tooltip-position='nextsibling'>  <a href='javascript:void(0)' class='fancy-note-label tooltip' >More</a></div><div class='fancy-note-hover bottom mobile-hidden'>Financial Statements/ESG Information - [Quarterly Report / Annual Report / Environmental, Social and Governance Information/Report]</div>]<br/>",2500,,EASY REPAY FIN,"CLARIFICATION ANNOUNCEMENT IN RELATION TO THE DIRECTOR'S INTERESTS DISCLOSED IN THE THIRD QUARTERLY REPORT 2017/18, THE ANNUAL REPORT 2018 AND THE FIRST QUARTERLY REPORT 2018/19",PDF,08/04/2020 20:12,"Financial Statements/ESG Information - [Quarterly Report / Annual Report / Environmental, Social and Governance Information/Report]",08079,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0408/2020040801157.pdf,None
9MB,9230467,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,GOLDPAC GROUP,Annual Report 2019,PDF,08/04/2020 19:32,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",03315,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040801075.pdf,"('Deloitte Touche Tohmatsu',)"
5MB,9230423,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,ZA ONLINE,ANNUAL REPORT 2019,PDF,08/04/2020 19:11,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",06060,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040801031.pdf,"('PricewaterhouseCoopers',)"
2MB,9230226,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CANSINOBIO-B,2019 ANNUAL REPORT,PDF,08/04/2020 18:01,Financial Statements/ESG Information - [Annual Report],06185,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800836.pdf,"('PricewaterhouseCoopers',)"
11MB,9230109,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,R&F PROPERTIES,Annual Report 2019,PDF,08/04/2020 17:42,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",02777,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800745.pdf,"('PricewaterhouseCoopers',)"
10MB,9230073,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,SINOPEC KANTONS,2019 Annual Report,PDF,08/04/2020 17:37,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00934,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800709.pdf,"('PricewaterhouseCoopers',)"
3MB,9230056,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,C C LAND,Annual Report 2019,PDF,08/04/2020 17:30,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",01224,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800692.pdf,"('Ernst & Young',)"
3MB,9230001,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CHUNCHENG HEAT,ANNUAL REPORT 2019,PDF,08/04/2020 17:19,Financial Statements/ESG Information - [Annual Report],01853,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800637.pdf,"('Ernst & Young',)"
3MB,9230001,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CHUNCHENG HEAT,ANNUAL REPORT 2019,PDF,08/04/2020 17:19,Financial Statements/ESG Information - [Annual Report],01853,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800637.pdf,NaN
4MB,9229967,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,REGAL REIT,2019 Annual Report,PDF,08/04/2020 17:12,Financial Statements/ESG Information - [Annual Report],01881,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800603.pdf,"('Ernst & Young',)"
4MB,9229922,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,C&D INTL GROUP,2019 ANNUAL REPORT,PDF,08/04/2020 17:05,Financial Statements/ESG Information - [Annual Report],01908,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800558.pdf,"('Grant Thornton Hong Kong Limited',)"
7MB,9229920,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,SHENZHEN INT'L,Annual Report 2019,PDF,08/04/2020 17:05,Financial Statements/ESG Information - [Annual Report],00152,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800556.pdf,"('KPMG',)"
6MB,9229908,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,CHINA EB LTD,ANNUAL REPORT 2019,PDF,08/04/2020 17:03,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00165,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800544.pdf,"('Ernst & Young',)"
8MB,9229904,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,CHINA OILFIELD,ANNUAL REPORT 2019,PDF,08/04/2020 17:03,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",02883,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800540.pdf,"('Deloitte Touche Tohmatsu',)"
19MB,9229890,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,TECHTRONIC IND,Annual Report 2019,PDF,08/04/2020 17:02,Financial Statements/ESG Information - [Annual Report],00669,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800526.pdf,"('Deloitte Touche Tohmatsu',)"
3MB,9229852,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CHUNLI MEDICAL,Annual Report 2019,PDF,08/04/2020 16:55,Financial Statements/ESG Information - [Annual Report],01858,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800488.pdf,"('WUYIGE', 'ably be expected to outweigh the public interest benefits of such')"
6MB,9229763,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,PRECIOUS DRAGON,2019 Annual Report,PDF,08/04/2020 16:47,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",01861,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800399.pdf,"('The engagement partner on the audit resulting in this independ',)"
1MB,9229757,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,HENGTOU SEC,2019 Annual Report,PDF,08/04/2020 16:47,Financial Statements/ESG Information - [Annual Report],01476,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800393.pdf,"('Grant Thornton Hong Kong Limited',)"
11MB,9229747,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,SINOFERT,ANNUAL REPORT 2019,PDF,08/04/2020 16:46,Financial Statements/ESG Information - [Annual Report],00297,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800383.pdf,"('KPMG',)"
1MB,9229705,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,HONGGUANG LIGHT,Annual Report 2019,PDF,08/04/2020 16:41,Financial Statements/ESG Information - [Annual Report],06908,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800341.pdf,"('BDO Limited',)"
6MB,9229699,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,CHINA ALUMCAN,2019 Annual Report,PDF,08/04/2020 16:40,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",06898,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800335.pdf,"('The engagement partner on the audit resulting in this independ',)"
8MB,9229689,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,CHINARES CEMENT,Annual Report 2019,PDF,08/04/2020 16:39,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",01313,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040800325.pdf,"('Ernst & Young',)"
