,report_page_range,f.audit_fee_page,f.matched_pattern,url
611,"[(15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0515/2020051500659.pdf
612,"[(10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0515/2020051500651.pdf
637,"[(77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0515/2020051500007.pdf
640,"[(24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051402189.pdf
641,"[(77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051402099.pdf
657,"[(25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051401328.pdf
659,"[(53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051401302.pdf
665,"[(49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0514/2020051401081.pdf
672,"[(26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051400876.pdf
677,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051400735.pdf
685,"[(22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0514/2020051400607.pdf
702,"[(37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051400457.pdf
705,"[(31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051400352.pdf
711,"[(10, 11, 12, 13, 14, 15, 16, 17, 18, 19)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0513/2020051301133.pdf
716,"[(13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0513/2020051300461.pdf
731,"[(66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0512/2020051200405.pdf
745,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0508/2020050800694.pdf
